timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
1332703419,0.06936841,0.19828592,0.0026672126,0
1332908587,0.06944034,0.1965226,0.0026142758,0
1333706999,0.0688278,0.19509621,0.0024843572,1
1334895589,0.0688278,0.19509621,0.0024843572,1
1335894631,0.0688278,0.19509621,0.0024843572,1
1336094797,0.0688278,0.19509621,0.0024843572,1
1436508982,0.0688278,0.19509621,0.0024843572,1
1436698471,0.0688278,0.19509621,0.0024843572,1
1437497153,0.0688278,0.19509621,0.0024843572,1
1438506214,0.0688278,0.19509621,0.0024843572,1
